Date	W500	10YRTB	1YRTB	3MOTB	MBAA	30YRMR
2/1/12	14163.54	1.97	0.16	0.09	5.14	3.89
3/1/12	14580.21	2.17	0.19	0.08	5.23	3.95
4/1/12	14460.8	2.05	0.18	0.08	5.19	3.91
5/1/12	13537.87	1.8	0.19	0.09	5.07	3.8
6/1/12	14049.42	1.62	0.19	0.09	5.02	3.68
7/1/12	14180.01	1.53	0.19	0.1	4.87	3.55
8/1/12	14483.86	1.68	0.18	0.1	4.91	3.6
9/1/12	14834.84	1.72	0.18	0.11	4.84	3.5
10/1/12	14555.51	1.75	0.18	0.1	4.58	3.38
11/1/12	14611.97	1.65	0.18	0.09	4.51	3.35
12/1/12	14759.52	1.72	0.16	0.07	4.63	3.35
1/1/13	15542.2	1.91	0.15	0.07	4.73	3.41
2/1/13	15707.47	1.98	0.16	0.1	4.85	3.53
3/1/13	16288.82	1.96	0.15	0.09	4.85	3.57
4/1/13	16554.91	1.76	0.12	0.06	4.59	3.45
5/1/13	16896.76	1.93	0.12	0.04	4.73	3.54
6/1/13	16654.74	2.3	0.14	0.05	5.19	4.07
7/1/13	17540.45	2.58	0.12	0.04	5.32	4.37
8/1/13	16995.74	2.74	0.13	0.04	5.42	4.46
9/1/13	17573.56	2.81	0.12	0.02	5.47	4.49
10/1/13	18309.93	2.62	0.12	0.05	5.31	4.19
11/1/13	18799.91	2.72	0.12	0.07	5.38	4.26
12/1/13	19254.15	2.9	0.13	0.07	5.38	4.46
1/1/14	18629.6	2.86	0.12	0.04	5.19	4.43
2/1/14	19448.88	2.71	0.12	0.05	5.1	4.3
3/1/14	19555.04	2.72	0.13	0.05	5.06	4.34
4/1/14	19568.1	2.71	0.11	0.03	4.9	4.34
5/1/14	19951.29	2.56	0.1	0.03	4.76	4.19
6/1/14	20406.71	2.6	0.1	0.04	4.8	4.16
7/1/14	20004.98	2.54	0.11	0.03	4.73	4.13
8/1/14	20777.34	2.42	0.11	0.03	4.69	4.12
9/1/14	20324.66	2.53	0.11	0.02	4.8	4.16
10/1/14	20862.17	2.3	0.1	0.02	4.69	4.04
11/1/14	21335.3	2.33	0.13	0.02	4.79	4
12/1/14	21289.13	2.21	0.21	0.03	4.74	3.86
1/1/15	20678.93	1.88	0.2	0.03	4.45	3.71
2/1/15	21807.89	1.98	0.22	0.02	4.51	3.71
3/1/15	21526.87	2.04	0.25	0.03	4.54	3.77
4/1/15	21622.29	1.94	0.23	0.02	4.48	3.67
5/1/15	21854.12	2.2	0.24	0.02	4.89	3.84
6/1/15	21433.95	2.36	0.28	0.02	5.13	3.98
7/1/15	21787.08	2.32	0.3	0.03	5.2	4.05
8/1/15	20445.4	2.17	0.38	0.07	5.19	3.91
9/1/15	19855.23	2.17	0.37	0.02	5.34	3.89
10/1/15	21420.58	2.07	0.26	0.02	5.34	3.8
11/1/15	21439.35	2.26	0.48	0.12	5.46	3.94
12/1/15	20979.51	2.24	0.65	0.23	5.46	3.96
1/1/16	19812.47	2.09	0.54	0.26	5.45	3.87
2/1/16	19749.65	1.78	0.53	0.31	5.34	3.66
3/1/16	21107.18	1.89	0.66	0.29	5.13	3.69
4/1/16	21220.21	1.81	0.56	0.23	4.79	3.61
5/1/16	21549.42	1.81	0.59	0.27	4.68	3.6
6/1/16	21577.7	1.64	0.55	0.27	4.53	3.57
7/1/16	22399.56	1.5	0.51	0.3	4.22	3.44
8/1/16	22398.83	1.56	0.57	0.3	4.24	3.44
